Smiles,ID
CC(C)C(C(C(CC1)=C2[C@@](C)(CC3)[C@@H]1C(CO1)=C3C1=O)=O)=CC2=O,Amb22893395
CC(C)(CCC1)[C@H]([C@@H](C2)O)[C@@]1(C)[C@@H](/C=C/c1cocc1)C2=C,Amb22893415
CC(C)=CCc(c(OC(CC1=O)c2ccccc2)c1c(O)c1)c1O,Amb22893107
CC(C)(CC1)C[C@H]2C3=CC[C@H]([C@@](C)(CC4)[C@@H]([C@@H](C5)O)[C@](C)(CO)[C@H]4O)[C@]5(C)[C@]3(C)CC[C@]12C(O)=O,Amb22893398
CC(C)[C@@H](CC[C@@](C)([C@@H](CC1)[C@@H]2[C@]1(C)O)O)[C@@H]2O,Amb22893380
COc(cc([C@H]([C@H]1CO)c(cc(c(OC)c2)O)c2C=C1C=O)cc1)c1O,Amb22892907
C=C(CC[C@H]1C(CC[C@H]2[C@@H]3CS(O)(=O)=O)=C)[C@@H]1[C@H]2OC3=O,Amb22893374
CC(C)[C@@H](CC[C@@](C)([C@H]1CCC(C2)=C)O)[C@]12O,Amb22893156
CC(C)([C@H](CC1)[C@](C)(CC2)[C@@H](CC3)C1=C[C@]3(C)[C@@H](COC(C)=O)O)[C@H]2O,Amb22892858
CC(C)([C@H](CCC1=C[C@@](C)(CC2)[C@@H](CO)O)[C@](C)(CC3)[C@]12O)[C@H]3O,Amb22892914
CC(C)([C@H](C[C@H]1O)[C@](C)(CC2)[C@@H](CC3)C1=C[C@]3(C)[C@@H](CO)O)[C@H]2O,Amb22892908
C[C@@]1(CCC2=C3CC[C@@H](C4(C)C)[C@]2(C)CC[C@@H]4O)[C@H]3OC[C@H]1O,Amb22893061
C[C@H](C[C@@H]([C@H]1C2=C)OC2=O)[C@H](CC[C@@H]2O)[C@]2(C)[C@H]1O,Amb22892980
C[C@](CC1)([C@H]([C@@H]2OC3=O)C1=C(C)CC[C@H]2C3=C)O,Amb24180628
CC(C)C(C(C([C@@H](C[C@@H]1[C@]2(C)CCCC1(C)C)O)=C2C1=O)=O)=C1O,Amb22893139
C[C@H](Cc(c(-c(c(OC)c1OC)c(C2)cc1OC)c1O)cc(OC)c1OC)[C@@]2(C)O,Amb24052177
C[C@H](CC1)CN(C2)[C@H]1[C@@H](C)[C@@H](CC1)[C@H]2[C@@H](C2)[C@H]1[C@@H](C1)[C@@H]2[C@](C)(CC[C@H](C2)O)[C@@H]2[C@H]1O,Amb22829658
CC(C)(CC1)[C@@H](C[C@H]([C@@]([C@@H]2O)([C@H]3CC[C@H]2C2=C)C2=O)O)[C@@]3(C)[C@H]1O,Amb22893176
CC[C@H](C)C(N[C@H](CCC1)N1C(/C=C/c1ccccc1)=O)=O,Amb22893255
CC[C@@](C)(C(N[C@@H](CCC1)N1C(/C=C/c1ccccc1)=O)=O)O,Amb22893256
C[C@H](Cc(cc1OCOc1c1OC)c1-c1c2O)[C@@H](C)Cc1cc(OC)c2OC,Amb22893307
C[C@]12O[C@H]2[C@H](c(c(OC)c2)cc(C=C3)c2OC3=O)OC1=O,Amb22893229
C[C@H](CC[C@]1([C@H]2C3=CC[C@H]([C@@](C)(C[C@H]4O)[C@@H](CC5)C(C)(C)[C@@H]4O)[C@]5(C)[C@]3(C)CC1)C(O)=O)[C@@]2(C)O,Amb22893084
C[C@@](CCC1)([C@@H](CCC2=CCOC2=O)C(CC2)=C)[C@@H]2[C@@]1(C)C(OC)=O,Amb22893287
Oc(cc1)cc(O/C2=C\c(cc3)cc(O)c3O)c1C2=O,Amb18511418
Oc(cccc1)c1O,Amb2609033
Oc(cccc1C(c2cccc(O)c22)=O)c1C2=O,Amb1349101
OC(C(c1c2cccc1)=O)=CC2=O,Amb533267
Oc(cccc1C(C=C2)=O)c1C2=O,Amb2719715
C[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]1Oc(cc1C(c2cc(C)cc(O)c22)=O)cc(O)c1C2=O,Amb6600417
Cc(cc1C(c2cc(O[C@H]([C@H]3O)OC[C@]3(CO)O)cc(O)c22)=O)cc(O)c1C2=O,Amb22583893
CC(C(c1c2c(O)ccc1)=O)=CC2=O,Amb540847
Cc(cc1C(c2cccc(O)c22)=O)cc(O)c1C2=O,Amb543347
Cc(cc1C(c2cc(O)cc(O)c22)=O)cc(O)c1C2=O,Amb6350187
Cc(cc1C(c2cc(OC)cc(O)c22)=O)cc(O)c1C2=O,Amb2694263
OC(c(cc1C(c2cccc(O)c22)=O)cc(O)c1C2=O)=O,Amb4037060
CC(C(c1c2cccc1)=O)=CC2=O,Amb2717711
CC(C)=CCC(C(c(cccc1)c1C1=O)=O)=C1O,Amb540065
Oc(c(O)c1)cc(C=C2)c1OC2=O,Amb18511463
OC1=Cc(cccc2)c2OC1=O,Amb18511465
O=C1Oc(cccc2)c2C=C1,Amb18511466
Oc1ccc(C=CC(O2)=O)c2c1O,Amb18511467
CC(c(c(O)cc(O)c1)c1O1)=CC1=O,Amb18511468
CC(c(cc(c(O)c1)O)c1O1)=CC1=O,Amb18511469
