molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL324974,C[C@H](N)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)NC[C@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1,MIC,64.0,ug.mL-1
CHEMBL1201259,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,MIC,32.0,ug.mL-1
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,MIC,4.0,ug.mL-1
CHEMBL272080,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,MIC,32.0,ug.mL-1
CHEMBL142949,CCNC1CC(N)C(OC2OC(CNC(=O)C(C)N)=CCC2N)C(O)C1OC1OCC(C)(O)C(NC)C1O,MIC,128.0,ug.mL-1
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,MIC,32.0,ug.mL-1
CHEMBL142355,CC(N)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,MIC,128.0,ug.mL-1
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,MIC,16.0,ug.mL-1
CHEMBL397431,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCN(C)S4(=O)=O)C3)[C@H](C)C12,MIC,12.5,ug.mL-1
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,MIC,12.5,ug.mL-1
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,12.5,ug.mL-1
CHEMBL244499,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCCN(C)S4(=O)=O)C3)[C@H](C)C12,MIC,3.12,ug.mL-1
CHEMBL244498,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCCNS4(=O)=O)C3)[C@H](C)C12,MIC,6.25,ug.mL-1
CHEMBL244497,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCOS4(=O)=O)C3)[C@H](C)C12,MIC,12.5,ug.mL-1
CHEMBL395991,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCN(Cc5ccccc5)S4(=O)=O)C3)[C@H](C)C12,MIC,50.0,ug.mL-1
CHEMBL244310,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCNS4(=O)=O)C3)[C@H](C)C12,MIC,12.5,ug.mL-1
CHEMBL397672,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CC(C)(C)NS4(=O)=O)C3)[C@H](C)C12,MIC,12.5,ug.mL-1
CHEMBL244307,CC1CN(C[C@@H]2C[C@H](SC3=C(C(=O)O)C4C(=O)C([C@@H](C)O)C4[C@H]3C)CN2)S(=O)(=O)N1,MIC,25.0,ug.mL-1
CHEMBL244119,CCN1CCN(C[C@@H]2C[C@H](SC3=C(C(=O)O)N4C(=O)C([C@@H](C)O)C4[C@H]3C)CN2)S1(=O)=O,MIC,25.0,ug.mL-1
